EntrezID,Symbol,stat(DNAm),P(DNAm),stat(mRNA),P(mRNA),stat(Int)
ENSDARG00000009681,med27,-4.01717151795002,0.00833855141155373,3.29132435005656,0.000997168677422058,7.44156396302985
ENSDARG00000009607,ccnc,5.6246270246399,0.00180015220851673,-1.44933881882258,0.147242985348925,7.13256254653755
ENSDARG00000040779,med16,-2.83835192175223,0.0325981910746132,1.32267263611798,0.185944267268468,4.21450015289159
ENSDARG00000006345,med17,-1.58507735637469,0.168462362979506,-1.63005347903286,0.103090194697304,0
ENSDARG00000053884,med13a,-1.27587696332099,0.25319335161126,-1.84141690709788,0.0655604870518029,0
ENSDARG00000003910,med13b,1.14506273549757,0.29952178835634,-1.31745124412679,0.187687413674034,2.51577847400304
ENSDARG00000029157,med23,1.07741023399525,0.326237819920375,1.3674946162771,0.171470323612645,0
ENSDARG00000016496,cdk8,-0.952579521213103,0.380739719737671,-0.965814335742841,0.334137093730568,0
ENSDARG00000009472,med19b,0.919271875307547,0.396453612766021,2.33318009808536,0.0196386949294594,0
ENSDARG00000070623,med10,-0.74319365757343,0.487859009616228,3.51760770782277,0.000435455590436154,4.40301808636784
ENSDARG00000026839,med21,-0.136724833604618,0.896110815922777,2.56520102034071,0.0103116045434748,2.80563681549873
ENSDARG00000014148,med22,1.19596643518542,0.280678482025639,-0.145311418489287,0.88446499976299,1.34715278777021
ENSDARG00000043858,cdk19,0.843570134159365,0.434032795866615,-0.552780369326113,0.580413812249137,1.41869938888513
